day,inc_case_mean,inc_case_var,inc_death_mean,inc_death_var,inc_death_hospital_mean,inc_death_hospital_var,age_0_S_mean,age_0_S_var,age_0_E_mean,age_0_E_var,age_0_H_mean,age_0_H_var,age_0_R_mean,age_0_R_var,age_0_D_mean,age_0_D_var,age_0_I_mean,age_0_I_var,age_0_IS_mean,age_0_IS_var,age_1_S_mean,age_1_S_var,age_1_E_mean,age_1_E_var,age_1_H_mean,age_1_H_var,age_1_R_mean,age_1_R_var,age_1_D_mean,age_1_D_var,age_1_I_mean,age_1_I_var,age_1_IS_mean,age_1_IS_var,age_2_S_mean,age_2_S_var,age_2_E_mean,age_2_E_var,age_2_H_mean,age_2_H_var,age_2_R_mean,age_2_R_var,age_2_D_mean,age_2_D_var,age_2_I_mean,age_2_I_var,age_2_IS_mean,age_2_IS_var,age_3_S_mean,age_3_S_var,age_3_E_mean,age_3_E_var,age_3_H_mean,age_3_H_var,age_3_R_mean,age_3_R_var,age_3_D_mean,age_3_D_var,age_3_I_mean,age_3_I_var,age_3_IS_mean,age_3_IS_var,age_4_S_mean,age_4_S_var,age_4_E_mean,age_4_E_var,age_4_H_mean,age_4_H_var,age_4_R_mean,age_4_R_var,age_4_D_mean,age_4_D_var,age_4_I_mean,age_4_I_var,age_4_IS_mean,age_4_IS_var,age_5_S_mean,age_5_S_var,age_5_E_mean,age_5_E_var,age_5_H_mean,age_5_H_var,age_5_R_mean,age_5_R_var,age_5_D_mean,age_5_D_var,age_5_I_mean,age_5_I_var,age_5_IS_mean,age_5_IS_var,age_6_S_mean,age_6_S_var,age_6_E_mean,age_6_E_var,age_6_H_mean,age_6_H_var,age_6_R_mean,age_6_R_var,age_6_D_mean,age_6_D_var,age_6_I_mean,age_6_I_var,age_6_IS_mean,age_6_IS_var,age_7_S_mean,age_7_S_var,age_7_E_mean,age_7_E_var,age_7_H_mean,age_7_H_var,age_7_R_mean,age_7_R_var,age_7_D_mean,age_7_D_var,age_7_I_mean,age_7_I_var,age_7_IS_mean,age_7_IS_var
0,0.0,0.0,0.0,0.0,0.0,0.0,1265668.578,1089.201117116515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.843,998.9513023023029,0.0,0.0,637736.436,551.941845846354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.934,334.5061501501497,0.0,0.0,664881.848,603.1960920914057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.44,348.9133133133136,0.0,0.0,809437.12,699.4990990971131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.583,406.1772882882889,0.0,0.0,710059.523,636.5019729733094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.803,385.7279189189195,0.0,0.0,600545.539,488.7732522530668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.035,290.46023523523525,0.0,0.0,632110.814,521.1805845845121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.346,323.3736576576576,0.0,0.0,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1263848.295,3625.627602602146,733.399,901.2830820820838,0.0,0.0,70.221,74.48264164164165,0.0,0.0,1946.633,1939.5718828828822,10.728,12.094110110110103,636670.95,2120.071571571658,517.611,665.7554344344345,0.0,0.0,23.286,25.5937977977978,0.0,0.0,637.196,639.7253093093086,30.219,36.011050050050066,663810.305,2113.7657407407723,500.529,624.1172762762767,0.0,0.0,23.692,26.591727727727708,0.0,0.0,662.77,647.98108108108,31.295,34.5605355355355,808110.921,2567.0518108117526,631.474,773.8912152152157,0.0,0.0,29.485,33.831606606606584,0.0,0.0,807.387,794.061292292292,38.248,44.26075675675681,708966.4,1987.057057055801,484.197,522.6388298298301,0.0,0.0,25.613,27.042273273273253,0.0,0.0,707.247,707.9759669669662,33.342,35.05609209209205,599790.23,1275.5406406419202,240.214,260.24845245245217,0.0,0.0,21.745,23.329304304304305,0.0,0.0,599.553,598.6158068068072,28.309,33.57109009009007,631344.959,1394.9402592586036,222.614,233.11011411411363,0.0,0.0,22.482,23.421097097097082,0.0,0.0,631.072,663.8366526526543,29.913,32.41584684684688,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1261359.91,7844.192092095277,1404.133,1719.5108218218209,0.0,0.0,206.51,208.69659659659658,0.0,0.0,3497.052,4057.711007007009,31.004,42.30784984984979,635135.43,4726.893993995326,988.644,1222.1434074074089,0.0,0.0,67.869,76.19803703703708,0.0,0.0,1232.842,1367.1902262262288,86.334,109.54496496496498,662279.87,4402.8919919905975,959.597,1078.6232142142137,0.0,0.0,70.211,79.49997897897904,0.0,0.0,1260.914,1371.56416816817,89.224,110.17987387387394,806209.055,5370.396371371238,1207.591,1391.122841841844,0.0,0.0,85.87,90.13323323323324,0.0,0.0,1548.285,1735.2310060060038,109.20400000000001,139.7803143143144,707432.984,4164.874618619258,925.094,1024.2894534534537,0.0,0.0,74.819,82.746985985986,0.0,0.0,1315.54,1436.5589589589583,95.882,118.72990990990999,598816.624,2500.3009249247666,458.597,493.34193293293333,0.0,0.0,63.736,72.67898298298297,0.0,0.0,1011.409,1035.5412602602596,81.119,100.9425815815816,630379.884,2535.189733733095,422.697,434.3495405405406,0.0,0.0,66.342,73.33437037037045,0.0,0.0,1048.404,1133.8466306306318,84.95400000000001,100.76291291291288,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1257684.783,16545.29120220467,2591.477,3383.0945655655687,0.0,0.0,450.739,451.87074974974996,0.0,0.0,5561.208,7870.675411411398,66.465,91.6785215215215,632726.029,10325.573732733963,1865.712,2485.0320880880886,0.0,0.0,154.264,176.17247647647645,0.0,0.0,2068.236,2581.5698738738733,192.159,256.02147647647666,659915.3,9295.793793793855,1796.588,2382.991247247243,0.0,0.0,158.129,180.77113013013005,0.0,0.0,2092.839,2534.655734734725,198.036,262.6898418418419,803251.002,12202.538534533674,2264.851,3352.9077067067183,0.0,0.0,194.658,211.4945305305304,0.0,0.0,2584.109,2920.3494684684565,242.43599999999998,312.2636536536537,705098.946,7949.154238240119,1726.211,2113.910389389389,0.0,0.0,166.696,181.37896296296296,0.0,0.0,2144.938,2333.9761321321266,209.14999999999998,271.54616816816787,597460.973,4205.2755465452365,841.306,916.402766766767,0.0,0.0,134.353,154.37476576576583,0.0,0.0,1526.889,1582.3710500500508,168.316,227.66848248248266,629072.746,4590.207691694932,765.241,861.6705895895908,0.0,0.0,139.394,150.5633273273273,0.0,0.0,1556.206,1754.8404044044082,175.02700000000002,231.68862362362364,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1252408.118,31553.81388989811,4196.968,6498.793769769757,0.0,0.0,838.36,881.8382382382393,0.0,0.0,8580.047,13903.302093093105,121.582,171.44427027027032,629116.245,21046.93991491314,3066.284,4433.909253253252,0.0,0.0,298.616,352.73327727727684,0.0,0.0,3373.215,4962.279054054055,368.043,507.08244944944965,656406.279,19316.13729629351,2943.345,4236.720695695685,0.0,0.0,304.447,336.51770870870786,0.0,0.0,3368.588,4727.762018018021,376.052,509.2926726726722,798855.477,23745.817288289134,3707.257,5018.345296296301,0.0,0.0,375.624,410.5671911911914,0.0,0.0,4180.516,5638.520264264293,462.331,612.9661011011012,701672.852,15614.957053048458,2819.274,3702.707631631636,0.0,0.0,316.467,349.99690790790777,0.0,0.0,3399.071,4111.0510100100055,391.043,535.3064214214214,595592.914,6892.969573571386,1354.921,1539.6764354354336,0.0,0.0,240.781,266.08312212212235,0.0,0.0,2235.741,2314.494413413412,295.841,413.41448148148163,627321.064,7144.41231631621,1210.712,1348.3894454454432,0.0,0.0,247.78,275.89549549549537,0.0,0.0,2233.622,2636.0411571571617,304.62,423.6892392392391,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1244734.452,60744.47817416162,6598.168,11390.031807807769,1.038,1.2077637637637648,1443.891,1557.1843033033033,0.0,0.0,12871.993,25440.801752752817,197.897,287.7993123123124,623687.554,43067.34843243928,4888.567,8036.530041041032,2.888,3.4789349349349368,557.383,659.657968968968,0.0,0.0,5308.759,8367.66658558561,626.2040000000001,835.6864424424427,651170.757,40320.64259359284,4672.027,8083.2935645645575,3.197,3.834025025025022,563.007,646.7497007007007,0.0,0.0,5244.091,8969.484203203188,631.657,837.8171001001003,792276.345,49349.469444441354,5892.333,9805.025136136157,3.504,3.8318158158158173,698.163,840.3888198198214,0.0,0.0,6532.27,10297.947047047102,778.7460000000001,1038.0023523523528,696604.189,30966.047326327433,4466.352,7031.691787787773,3.609,4.206325325325325,579.867,664.4297407407405,0.0,0.0,5219.891,7325.390509509483,646.835,888.5988978978974,592955.237,11558.156987988157,2125.857,2442.0666176176246,4.678,5.742058058058058,415.891,469.2623813813815,0.0,0.0,3203.458,3669.9181541541575,456.852,634.9604084084082,624908.777,11008.475746747297,1873.405,2169.514489489491,7.729,9.837396396396406,421.869,462.9848238238235,0.0,0.0,3130.132,3629.842418418419,462.42800000000005,656.861171171171,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,26.643,31.33488588588588,0.0,0.0,0.0,0.0,1233632.272,120174.92894495858,10034.98,19181.62922922921,3.801,4.5919909909909915,2358.466,2715.5804244244323,0.001,0.001000000000000001,19086.905,47241.45743243231,303.12300000000005,423.7475565565565,615641.995,86635.47645144719,7510.059,14237.617136136136,8.881,10.09893793793793,978.453,1117.3451361361358,0.004,0.003987987987987987,8200.769,15490.93857757759,1011.8509999999999,1254.9046576576584,643451.855,78757.11308808727,7159.727,12719.566037037028,9.65,9.721221221221226,981.238,1213.4287847847834,0.005,0.004979979979979983,8026.266,16320.76000400403,1008.571,1318.3544574574582,782561.831,98686.0645035054,9033.811,16835.37865765766,10.144,10.157421421421434,1217.526,1539.1364604604594,0.019,0.018657657657657707,10031.988,18997.61146746746,1251.574,1546.6920700700691,689170.07,59048.04714714536,6837.149,11532.897696696682,11.096,12.409193193193191,998.425,1109.7100850850845,0.047,0.046837837837837855,7903.458,13150.742978978997,1018.06,1349.475303303302,589217.05,21017.883383385808,3228.038,4350.749305305289,14.71,16.17207207207206,681.737,757.7796106106086,0.099,0.10730630630630643,4567.067,5652.358869869866,665.9459999999999,920.6708588588591,621559.021,17324.787346341123,2813.229,3575.4139729730036,23.605,27.17214714714715,679.282,739.6040800800804,0.337,0.3557867867867869,4361.199,5125.5509499499485,662.0799999999999,923.888652652653,113073.983,35.69040140139137,19.017,35.69040140140133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,58.112,64.98844444444448,0.512,0.5624184184184186,0.485,0.5142892892892892,1217566.463,239445.4260570283,15007.029,35029.84600500496,8.385,8.971746746746733,3723.324,4542.491515515514,0.004,0.003987987987987989,28045.247,89605.73372472468,451.915,622.3509659659661,603799.415,172080.84562061625,11313.052,23820.908204204206,20.02,21.401001001001013,1645.675,1987.1985735735761,0.022,0.02353953953953953,12467.551,29627.588987987874,1584.5870000000002,1958.941800800799,632125.772,153679.7597757765,10772.281,22819.319358358418,21.372,22.49210810810811,1638.307,2149.0117627627606,0.018,0.01769369369369371,12108.799,28533.011610610676,1562.275,1948.2663993994,768303.295,210838.16013514082,13585.774,33921.138062062135,22.748,21.387883883883873,2039.157,2641.974325325329,0.064,0.06396796796796791,15174.927,35690.968639639534,1946.265,2441.464719719721,678302.274,122371.32024422972,10276.82,21527.074674674575,23.879,23.648007007007003,1652.464,1981.2599639639666,0.174,0.1718958958958961,11821.289,23160.29977877886,1554.855,2006.2403933933924,583878.721,37011.25841741604,4832.35,7418.491991992,30.523,30.87434534534537,1071.55,1214.461961961963,0.391,0.414533533533534,6494.935,9025.320095095101,947.5640000000001,1203.6762922922921,616859.017,29689.480191194525,4167.502,6195.687683683689,48.162,53.74149749749745,1048.385,1184.1309059059022,1.359,1.429548548548548,6071.776,7784.035859859889,922.6419999999999,1226.6774674674677,113015.311,176.2064854855111,58.672,110.15056656656654,0.0,0.0,0.0,0.0,0.0,0.0,11.438,17.846002002002013,0.0,0.0
8,101.893,117.75730830830838,1.52,1.6112112112112114,1.39,1.4793793793793812,1194418.273,486925.67014110344,22103.621,65822.20756656662,15.332,17.222998998999003,5729.233,7894.883594594599,0.01,0.0099099099099099,40980.072,172320.98980580602,666.486,887.4105645645656,586580.812,341113.23388988903,16701.485,43687.647422422386,37.671,38.84560460460457,2675.758,3577.4969329329406,0.063,0.06910010010010023,18715.092,54586.896432432455,2433.037,3060.509424424423,615691.137,299853.53576678544,15892.4,39199.74774774776,39.413,39.395826826826855,2645.329,3648.118877877872,0.066,0.06771171171171173,18073.742,53893.44688288308,2377.8849999999998,2989.575092092092,747611.501,425868.74474375724,20031.698,57839.486282282276,42.475,45.11248748748747,3299.031,4513.813852852864,0.178,0.18850450450450468,22690.086,69059.48809209191,2970.44,3668.4696496496535,662549.562,245075.40556158032,15170.581,35454.86630530535,43.903,43.03262362362365,2640.053,3269.9521431431403,0.485,0.47825325325325363,17530.604,41792.503687687866,2341.4260000000004,2942.7236056056054,576251.879,67776.35871771818,7125.301,12504.23663563561,52.469,54.74378278278273,1630.089,1863.5366156156203,1.063,1.1601911911911909,9254.729,14746.624183183136,1342.4370000000001,1670.0409599599614,610220.531,49832.27531431178,6108.928,8819.860676676642,81.946,97.58066466466471,1565.683,1798.6131241241253,3.52,3.4830830830830912,8478.146,12218.252936936982,1277.979,1599.3495065065072,112889.801,466.8742732733419,125.51,208.99489489489486,0.0,0.0,0.815,0.8456206206206199,0.0,0.0,46.008,80.13807407407417,1.011,1.2421211211211214
9,156.975,161.04742242242247,3.353,3.501892892892892,2.99,3.2051051051051056,1161320.485,976209.1669420365,32070.502,116737.37537137159,25.264,27.798102102102124,8666.607,14850.430981981977,0.024,0.02344744744744745,59578.044,341333.7538178168,974.07,1265.4328588588587,561904.946,677026.4235075148,24172.068,80885.16253853867,65.112,69.72518118118123,4242.097,6448.4300210210395,0.149,0.15295195195195183,27764.422,103538.64255855918,3680.6749999999997,4729.387710710711,592146.7,586425.7537537582,23017.058,69371.37401001014,67.441,68.49301201201206,4160.358,6052.254090090101,0.146,0.15083483483483504,26698.936,97284.59650050057,3571.928,4405.08010610611,717966.429,847174.1411000923,29002.001,97733.86085985995,72.567,76.4179289289289,5205.524,8124.249673673657,0.379,0.38174074074074055,33547.208,134230.4011371375,4477.28,5588.369739739739,639953.168,486798.72650251637,22026.769,64699.43907807811,74.028,73.96518118118114,4119.419,5510.5059449449445,1.108,1.1194554554554557,25780.63,80999.63873873878,3483.085,4244.850467467466,565353.356,123148.18544945803,10405.357,19155.22677777774,83.379,88.99835735735729,2430.718,2629.9604364364336,2.276,2.360184184184189,13194.323,24365.55822922919,1900.534,2302.456196196199,600820.244,92846.10256657266,8876.802,15911.057853853958,127.423,149.77784884884886,2293.263,2750.594425425426,7.497,7.0990900900900895,11876.495,19538.696671671725,1770.006,2136.6144284284287,112665.987,1083.3561871870827,223.814,384.50390790790783,0.0,0.0,4.041,4.247566566566563,0.0,0.0,118.349,208.10530430430435,5.017,6.257248248248249
