day,inc_case_mean,inc_case_var,inc_death_mean,inc_death_var,inc_death_hospital_mean,inc_death_hospital_var,age_0_S_mean,age_0_S_var,age_0_E_mean,age_0_E_var,age_0_H_mean,age_0_H_var,age_0_R_mean,age_0_R_var,age_0_D_mean,age_0_D_var,age_0_I_mean,age_0_I_var,age_0_IS_mean,age_0_IS_var,age_1_S_mean,age_1_S_var,age_1_E_mean,age_1_E_var,age_1_H_mean,age_1_H_var,age_1_R_mean,age_1_R_var,age_1_D_mean,age_1_D_var,age_1_I_mean,age_1_I_var,age_1_IS_mean,age_1_IS_var,age_2_S_mean,age_2_S_var,age_2_E_mean,age_2_E_var,age_2_H_mean,age_2_H_var,age_2_R_mean,age_2_R_var,age_2_D_mean,age_2_D_var,age_2_I_mean,age_2_I_var,age_2_IS_mean,age_2_IS_var,age_3_S_mean,age_3_S_var,age_3_E_mean,age_3_E_var,age_3_H_mean,age_3_H_var,age_3_R_mean,age_3_R_var,age_3_D_mean,age_3_D_var,age_3_I_mean,age_3_I_var,age_3_IS_mean,age_3_IS_var,age_4_S_mean,age_4_S_var,age_4_E_mean,age_4_E_var,age_4_H_mean,age_4_H_var,age_4_R_mean,age_4_R_var,age_4_D_mean,age_4_D_var,age_4_I_mean,age_4_I_var,age_4_IS_mean,age_4_IS_var,age_5_S_mean,age_5_S_var,age_5_E_mean,age_5_E_var,age_5_H_mean,age_5_H_var,age_5_R_mean,age_5_R_var,age_5_D_mean,age_5_D_var,age_5_I_mean,age_5_I_var,age_5_IS_mean,age_5_IS_var,age_6_S_mean,age_6_S_var,age_6_E_mean,age_6_E_var,age_6_H_mean,age_6_H_var,age_6_R_mean,age_6_R_var,age_6_D_mean,age_6_D_var,age_6_I_mean,age_6_I_var,age_6_IS_mean,age_6_IS_var,age_7_S_mean,age_7_S_var,age_7_E_mean,age_7_E_var,age_7_H_mean,age_7_H_var,age_7_R_mean,age_7_R_var,age_7_D_mean,age_7_D_var,age_7_I_mean,age_7_I_var,age_7_IS_mean,age_7_IS_var
0,0.0,0.0,0.0,0.0,0.0,0.0,1265864.003,922.6576486451371,789.119,799.2220610610614,0.0,0.0,0.0,0.0,0.0,0.0,39.881,43.31014914914921,0.0,0.0,637836.46,437.0514514513866,397.647,382.5369279279276,0.0,0.0,0.0,0.0,0.0,0.0,20.087,20.628059059059055,0.0,0.0,664983.286,468.49870270289256,413.803,407.0092002002004,0.0,0.0,0.0,0.0,0.0,0.0,21.012,20.994850850850867,0.0,0.0,809560.937,540.8298608601831,504.375,489.6340090090084,0.0,0.0,0.0,0.0,0.0,0.0,25.599,28.520719719719676,0.0,0.0,710168.165,477.7655405406308,443.535,442.4292042042042,0.0,0.0,0.0,0.0,0.0,0.0,22.213,24.542173173173158,0.0,0.0,600638.043,399.45860961071895,375.08,367.4930930930932,0.0,0.0,0.0,0.0,0.0,0.0,19.045,19.75272772772772,0.0,0.0,632206.537,424.98161261278483,394.8,382.20820820820813,0.0,0.0,0.0,0.0,0.0,0.0,19.786,20.470674674674704,0.0,0.0,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1264867.619,1975.0468858848235,1591.229,1649.2478068068067,0.0,0.0,22.94,37.18558558558555,0.0,0.0,91.772,109.33134734734746,10.813,12.836867867867864,637314.765,1067.6514264270859,821.747,839.5545455455454,0.0,0.0,11.66,18.3107107107107,0.0,0.0,46.012,55.357213213213186,5.293,6.505656656656663,664445.036,1102.1948988981792,850.468,900.4113873873895,0.0,0.0,12.162,20.47623223223226,0.0,0.0,48.136,55.47698098098095,5.627,6.558429429429422,808902.231,1381.5031421422611,1039.123,1136.1159869869878,0.0,0.0,14.784,25.006350350350367,0.0,0.0,58.811,69.72700600600602,6.829,7.2730320320320345,709600.03,1112.2473473475086,903.522,955.3028188188188,0.0,0.0,12.858,22.091927927927927,0.0,0.0,50.977,54.88535635635639,5.863,7.031262262262267,600180.198,846.6033993991745,740.64,717.7081081081096,0.0,0.0,11.127,17.44231331331334,0.0,0.0,43.588,52.94720320320313,5.004,5.973957957957956,631730.926,847.5761001000046,773.685,710.5703453453443,0.0,0.0,11.311,17.902181181181195,0.0,0.0,45.903,56.77636736736738,5.42,6.281881881881879,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1263709.479,3654.32388288197,2462.848,2789.0079039038947,0.0,0.0,76.139,116.55223123123119,0.0,0.0,148.825,172.19256756756735,40.216,48.807477477477455,636679.044,2120.5766406407643,1310.018,1476.3640400400407,0.0,0.0,38.264,56.20450850850846,0.0,0.0,76.582,97.83911511511525,20.031,24.516895895895885,663795.871,1865.3276866878618,1347.65,1393.386886886891,0.0,0.0,40.145,55.821796796796804,0.0,0.0,79.123,104.091962962963,20.906,28.490704704704733,808104.705,2397.297272272937,1650.185,1850.835610610615,0.0,0.0,48.966,75.6404844844845,0.0,0.0,96.797,116.46025125125136,25.583,28.73198298298304,708926.789,1918.1806596599558,1414.687,1596.3553863863867,0.0,0.0,42.417,67.61872972972974,0.0,0.0,84.282,105.47795395395396,22.152,27.69843443443444,599671.929,1391.0870460463123,1115.106,1091.0718358358374,0.0,0.0,36.458,53.93417017017022,0.0,0.0,70.11,91.19509509509513,18.912,21.577417417417426,631205.141,1439.2463653646691,1159.055,1161.663638638638,0.0,0.0,38.152,55.35024624624626,0.0,0.0,73.141,85.33645545545548,19.837,25.47264764764765,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1262338.022,5446.087603596559,3447.304,3753.364948948954,0.0,0.0,162.47,231.9290290290288,0.0,0.0,211.115,279.47124624624604,94.78200000000001,119.31050050050027,635893.887,3439.70793893911,1892.433,2205.8593703703696,0.0,0.0,82.666,119.20965365365359,0.0,0.0,110.504,145.24322722722724,47.782,61.26238038038042,663005.434,3112.0196636648607,1929.006,2171.123087087087,0.0,0.0,86.015,123.66644144144136,0.0,0.0,114.429,150.81577477477464,49.326,66.71954154154152,807125.949,3971.2976966915526,2372.714,2841.8200240240108,0.0,0.0,105.051,154.7131121121121,0.0,0.0,139.543,173.0772282282283,60.482,72.09045445445442,708114.34,3003.808208209465,2005.68,2355.1167167167227,0.0,0.0,91.403,124.53112212212204,0.0,0.0,120.89,157.91781781781805,52.486000000000004,68.51433433433436,599094.552,2096.081377377761,1514.305,1562.6946696696725,0.0,0.0,77.028,106.58379979979979,0.0,0.0,98.643,127.07462562562573,44.480999999999995,55.08464364364367,630617.164,2043.5066106079537,1561.227,1570.8903613613552,0.0,0.0,80.577,110.84491591591596,0.0,0.0,102.685,128.55633133133134,46.686,61.00342942942946,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1260708.213,8373.79742842846,4577.2,5659.299299299305,0.0,0.0,285.655,385.6296046046044,0.0,0.0,280.401,364.04424324324293,180.528,244.71729529529532,634924.925,5572.22159659625,2591.485,3465.769544544529,0.0,0.0,147.311,190.2485275275276,0.0,0.0,150.352,197.72982582582554,91.60999999999999,123.49041441441429,662037.669,4719.3187577615545,2619.978,3029.9574734734756,0.0,0.0,152.283,204.70962062062068,0.0,0.0,155.175,218.36273773773783,94.991,139.43739239239227,805924.906,5974.43559959736,3234.413,3933.4779089089097,0.0,0.0,185.796,263.1815655655659,0.0,0.0,190.447,239.45864964964963,116.064,149.17807007006996,707133.183,4315.186697698008,2697.551,3083.2206196196194,0.0,0.0,161.403,216.21280380380352,0.0,0.0,162.634,205.0210650650651,100.64,135.3125845845846,598433.044,2796.208272271898,1952.853,1976.9803713713752,0.0,0.0,133.843,175.11346446446453,0.0,0.0,128.15,169.8973973973973,84.295,105.93649349349347,629953.618,2979.3674434458176,1992.962,2093.125681681682,0.0,0.0,139.905,178.9148898898899,0.0,0.0,133.003,167.01600700700698,88.211,114.83109409409398,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1258762.497,12684.130121115984,5893.44,7847.557957957935,0.037,0.03566666666666665,448.947,603.2114024024015,0.0,0.0,359.061,495.8291081081077,303.565,389.3038488488491,633731.587,8664.336767765659,3434.334,5263.173617617616,0.011,0.010889889889889898,234.664,306.5116156156157,0.0,0.0,198.611,275.8435225225228,156.21300000000002,207.19793093093057,660851.463,7282.9836146177295,3450.667,4623.859970970971,0.019,0.01865765765765766,242.526,333.4607847847851,0.0,0.0,202.903,250.47606706706682,161.504,222.56919719719735,804446.835,9630.56433933848,4273.5,6043.235235235237,0.02,0.021621621621621668,297.18,396.5961961961965,0.0,0.0,248.832,315.9397157157163,197.822,255.20490490490505,705945.055,6455.191166167915,3516.448,4493.837133133123,0.014,0.013817817817817808,256.232,342.76293893893904,0.0,0.0,210.896,288.12731131131125,171.459,216.98085785785767,597671.371,3748.613972971958,2440.328,2425.183599599593,0.028,0.027243243243243204,208.304,276.47405805805795,0.0,0.0,159.729,209.5651241241244,140.373,185.32645145145153,629199.14,3747.8722722689113,2465.751,2470.4154144144236,0.026,0.025349349349349324,217.338,262.48824424424447,0.0,0.0,164.778,235.65236836836786,146.96900000000002,197.58216116116108,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.155,0.15112612612612614,0.0,0.0,0.0,0.0,1256438.951,19402.945544547016,7434.889,11382.20688588587,0.228,0.2562722722722724,658.381,940.095934934936,0.001,0.0010000000000000002,451.024,610.8202442442448,470.514,631.1891511511517,632265.367,12871.87018118474,4452.313,7428.795826826848,0.088,0.09234834834834824,350.594,454.4656296296286,0.0,0.0,256.161,352.3314104104105,245.62199999999999,343.56728328328325,659400.761,10722.188067069148,4449.924,6470.945169169155,0.113,0.11834934934934936,360.669,501.35679579579494,0.0,0.0,259.809,341.73825725725777,253.54100000000003,349.42006706706707,802638.545,14188.636611610193,5522.953,8257.085876876885,0.121,0.12248148148148144,442.834,575.0074514514508,0.0,0.0,320.47,396.99209209209204,310.578,403.05321721721685,704502.97,9207.458558561033,4495.84,6173.970370370346,0.09,0.09599599599599586,378.616,502.2668108108104,0.0,0.0,268.215,380.79757257257285,267.639,365.13104604604644,596788.463,5068.120751751894,2992.122,3108.5796956956906,0.138,0.14309909909909904,301.69,392.608508508508,0.001,0.001,195.104,262.7459299299306,215.064,293.4873373373374,628336.187,4820.250281275814,2992.52,3291.8294294294355,0.223,0.26553653653653664,313.317,359.8003113113111,0.006,0.005969969969969969,199.31,270.9968968968972,224.60299999999998,306.3361891891893,113086.33,284.805905905858,6.67,284.8059059059058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.884,1.017561561561562,0.008,0.007943943943943939,0.008,0.007943943943943939,1253661.644,28232.898162158996,9253.376,15829.790414414358,0.816,0.8770210210210206,923.687,1264.4654964964982,0.001,0.0010000000000000002,558.931,818.9732122122111,687.626,911.0826046046045,630465.416,18548.327271274033,5687.365,10325.869644644587,0.319,0.3255645645645648,501.287,673.6622932932942,0.001,0.0010000000000000007,326.01,454.6845845845847,365.555,505.23804304304235,657634.019,16119.644283282056,5649.815,8911.734509509539,0.359,0.38650550550550505,513.328,670.6951111111104,0.0,0.0,327.937,437.2482792792806,375.168,542.411117117117,800430.067,21048.184695695003,7027.339,12171.863942942939,0.363,0.4276586586586586,631.414,804.7813853853845,0.003,0.0029939939939939934,405.601,566.7645635635627,459.88800000000003,595.6396256256265,702757.975,13369.455830830706,5664.394,8193.77854254255,0.361,0.3650440440440438,535.778,674.8015175175175,0.001,0.0010000000000000005,335.845,460.88986486486505,393.843,530.5677547547548,595760.546,6659.737621623374,3626.111,4083.9065855855833,0.484,0.49423823823823854,416.11,510.40030030030044,0.006,0.005969969969969964,234.683,328.5971081081082,309.86800000000005,456.0529229229231,627346.036,6097.664368370797,3585.915,3875.625400400384,0.803,0.9511421421421407,430.331,478.52596496496545,0.024,0.025449449449449418,237.41,324.2241241241245,322.45300000000003,433.34371471471434,113043.247,2886.8348258257197,48.988,2776.9448008008,0.0,0.0,0.0,0.0,0.0,0.0,0.304,0.8764604604604601,0.0,0.0
8,2.749,2.93493393393393,0.028,0.02924524524524523,0.028,0.02924524524524523,1250339.138,40530.53749347202,11406.927,21433.95762862868,2.038,2.066622622622622,1256.075,1698.856231231234,0.003,0.0029939939939939964,685.171,1016.061820820821,963.209,1284.2570780780798,628266.341,28138.030749743935,7178.973,15366.108379379402,0.758,0.8502862862862868,694.84,996.0264264264264,0.003,0.0029939939939939916,410.519,581.4971361361355,521.264,760.5604264264271,655485.175,23903.858233231414,7094.598,12854.474870870868,0.864,0.9164204204204206,708.71,963.9278278278277,0.003,0.0029939939939939925,409.035,541.9477227227221,531.846,796.5465905905901,797740.65,32446.690190194862,8840.658,18340.521557557564,0.899,0.9217207207207224,871.876,1119.5782022022024,0.01,0.009909909909909913,510.106,705.001765765765,655.2239999999999,908.7995655655656,700648.257,19515.520471469354,7062.724,11386.218042042075,0.959,1.0063253253253255,735.382,875.6277037037036,0.011,0.010889889889889892,415.778,567.1118278278284,555.454,787.316346346346,594560.298,8858.51571171326,4359.539,5201.223702702704,1.295,1.3493243243243265,556.19,706.7486486486509,0.027,0.028299299299299273,279.268,375.43360960960985,426.90500000000003,580.2325955955952,626202.414,7878.651255261708,4264.873,4955.049920920918,2.028,2.457673673673675,571.036,645.6503543543533,0.1,0.10610610610610607,280.048,393.4671631631632,441.928,620.910572572572,112893.553,12987.716907908545,193.046,11887.947831831834,0.0,0.0,0.147,0.28367467467467433,0.0,0.0,2.28,8.361961961961953,0.087,0.15758858858858887
9,6.227,6.658129129129127,0.121,0.12648548548548558,0.121,0.12648548548548558,1246370.681,56797.15639541093,13960.918,28757.27054654658,4.139,4.207886886886889,1669.334,2383.954398398395,0.006,0.005969969969969966,832.009,1167.2161351351333,1304.035,1859.652421421424,625589.279,41530.930089092,8974.421,21747.202961961964,1.61,1.6915915915915918,941.614,1408.5395435435444,0.004,0.003987987987987986,513.753,697.6396306306315,718.579,1055.5293863863862,652877.965,35158.3321071043,8830.811,18601.050329329275,1.803,1.898089089089089,954.781,1310.7497887887896,0.007,0.006957957957957948,509.643,674.3258768768761,730.845,1038.8292342342331,794473.755,46963.1441191165,11023.02,25848.874474474418,1.856,1.979243243243239,1178.256,1472.1646286286302,0.017,0.018729729729729673,634.179,864.4654244244249,900.5470000000001,1331.5827977977972,698104.351,27663.56536436487,8733.921,15184.026785785783,2.02,2.1417417417417424,986.06,1127.439839839837,0.033,0.03194294294294292,512.178,733.6479639639633,758.427,1072.997286286286,593156.24,11620.615015009405,5213.745,6878.450425425421,2.671,2.9276866866866857,725.54,968.4848848848868,0.078,0.086002002002002,329.52,478.4660660660664,568.2,791.1284844844848,624883.717,9961.882793796844,5040.645,5724.863838838839,4.284,5.276620620620621,740.328,842.6250410410377,0.291,0.3426616616616616,327.482,439.1448208208206,584.395,839.1958868868867,112514.43,40280.70180179895,549.984,35294.12186586587,0.0,0.0,1.426,4.861385385385378,0.0,0.0,9.69,41.777677677677715,0.793,1.717792792792793
